Name,Runtime_sec
q1-v2.4,3.0
q2-v2.4,0.6
q3-v2.4,0.4
q4-v2.4,1.9
q5-v2.4,6.2
q6-v2.4,0.7
q7-v2.4,0.3
q8-v2.4,0.4
q9-v2.4,2.3
q10-v2.4,0.5
q11-v2.4,0.9
q12-v2.4,1.7
q13-v2.4,0.7
q14a-v2.4,3.7
q14b-v2.4,1.7
q15-v2.4,0.2
q16-v2.4,1.4
q17-v2.4,0.3
q18-v2.4,0.9
q19-v2.4,0.3
q20-v2.4,0.4
q21-v2.4,0.3
q22-v2.4,0.9
q23a-v2.4,1.1
q23b-v2.4,0.8
q24a-v2.4,0.7
q24b-v2.4,0.5
q25-v2.4,0.3
q26-v2.4,0.3
q27-v2.4,0.8
q28-v2.4,3.0
q29-v2.4,0.4
q30-v2.4,0.4
q31-v2.4,0.5
q32-v2.4,0.5
q33-v2.4,0.6
q34-v2.4,0.3
q35-v2.4,0.3
q36-v2.4,1.2
q37-v2.4,0.2
q38-v2.4,0.5
q39a-v2.4,0.4
q39b-v2.4,0.3
q40-v2.4,0.2
q41-v2.4,0.6
q42-v2.4,0.2
q43-v2.4,0.2
q44-v2.4,0.3
q45-v2.4,0.7
q46-v2.4,0.3
q47-v2.4,1.1
q48-v2.4,0.4
q49-v2.4,1.7
q50-v2.4,0.3
q51-v2.4,0.9
q52-v2.4,0.1
q53-v2.4,0.6
q54-v2.4,0.4
q55-v2.4,0.2
q56-v2.4,0.6
q57-v2.4,0.8
q58-v2.4,0.4
q59-v2.4,0.3
q60-v2.4,0.5
q61-v2.4,0.7
q62-v2.4,0.2
q63-v2.4,0.4
q64-v2.4,1.3
q65-v2.4,0.3
q66-v2.4,1.3
q67-v2.4,0.9
q68-v2.4,0.3
q69-v2.4,0.3
q70-v2.4,0.9
q71-v2.4,0.3
q72-v2.4,0.2
q73-v2.4,0.2
q74-v2.4,0.6
q75-v2.4,1.6
q76-v2.4,0.6
q77-v2.4,0.9
q78-v2.4,0.3
q79-v2.4,0.2
q80-v2.4,0.7
q81-v2.4,0.3
q82-v2.4,0.2
q83-v2.4,0.3
q84-v2.4,0.1
q85-v2.4,0.3
q86-v2.4,0.7
q87-v2.4,0.4
q88-v2.4,0.9
q89-v2.4,0.6
q90-v2.4,0.5
q91-v2.4,0.3
q92-v2.4,0.4
q93-v2.4,0.2
q94-v2.4,0.6
q95-v2.4,0.4
q96-v2.4,0.3
q97-v2.4,0.4
q98-v2.4,0.7
q99-v2.4,0.2
ss_max-v2.4,0.7
